n_lines,n_directions,n_words,n_speak_char,andy,angela,darryl,dwight,erin,holly,jan,jim,kelly,kevin,meredith,michael,oscar,pam,phyllis,ryan,stanley,toby,andy_perc,angela_perc,darryl_perc,dwight_perc,erin_perc,holly_perc,jan_perc,jim_perc,kelly_perc,kevin_perc,meredith_perc,michael_perc,oscar_perc,pam_perc,phyllis_perc,ryan_perc,stanley_perc,toby_perc,multi_part,Alex Hardcastle_dummy,Amy Heckerling_dummy,Asaad Kelada_dummy,B.J. Novak_dummy,Brent Forrester_dummy,Brian Baumgartner_dummy,Bryan Cranston_dummy,Bryan Gordon_dummy,Charles McDougal_dummy,Charles McDougall_dummy,Charlie Grandy_dummy,Claire Scanlon_dummy,Claire Scanlong_dummy,Craig Zisk_dummy,Daniel Chun_dummy,Danny Leiner_dummy,David Rogers_dummy,Dean Holland_dummy,Dennie Gordon_dummy,Ed Helms_dummy,Eric Appel_dummy,Gene Stupnitsky_dummy,Greg Daneils_dummy,Greg Daniels_dummy,Harold Ramis_dummy,J.J. Abrams_dummy,Jason Reitman_dummy,Jeffrey Blitz_dummy,Jennifer Celotta_dummy,Jesse Peretz_dummy,John Krasinski_dummy,John Scott_dummy,Jon Favreau_dummy,Joss Whedon_dummy,Julian Farino_dummy,Kelly Cantley-Kashima_dummy,Ken Kwapis_dummy,Ken Whittingham_dummy,Ken Wittingham_dummy,Lee Eisenberg_dummy,Lee Kirk_dummy,Marc Webb_dummy,Matt Sohn_dummy,Michael Spiller_dummy,Miguel Arteta_dummy,Mindy Kaling_dummy,Paul Feig_dummy,Paul Lieberstein_dummy,Paul Lieerstein_dummy,Rainn Wilson_dummy,Randall Einhorn_dummy,Reginald Hudlin_dummy,Rodman Flender_dummy,Roger Nygard_dummy,Seth Gordon_dummy,Stephen Merchant_dummy,Steve Carell_dummy,Troy Miller_dummy,Tucker Gates_dummy,Victor Nelli Jr._dummy,Aaron Shure_dummy,Allison Silverman_dummy,Amelie Gillette_dummy,Anthony Q. Farrell_dummy,B.J. Novak_dummy.1,Brent Forrester_dummy.1,Caroline Williams_dummy,Carrie Kemper_dummy,Charlie Grandy_dummy.1,Dan Greaney_dummy,Dan Sterling_dummy,Daniel Chun_dummy.1,Gabe Miller_dummy,Gene Stupnitsky_dummy.1,Graham Wagner_dummy,Greg Daniels_dummy.1,Halsted Sullivan_dummy,Jason Kessler_dummy,Jennifer Celotta_dummy.1,Jon Vitti_dummy,Jonathan Green_dummy,Jonathan Huges_dummy,Justin Spitzer_dummy,Larry Willmore_dummy,Lee Eisenberg_dummy.1,Lester Lewis_dummy,Michael Schur_dummy,Mindy Kaling_dummy.1,Nicki Schwartz-Wright_dummy,Owen Ellickson_dummy,Paul Lieberstein_dummy.1,Peter Ocko_dummy,Ricky Gervais_dummy,Robert Padnick_dummy,Ryan Koh_dummy,Stephen Merchant_dummy.1,Steve Carell_dummy.1,Steve Hely_dummy,Tim McAuliffe_dummy,Warren Lieberstein_dummy,Andy_dummy,Angela_dummy,Creed_dummy,Darryl_dummy,Dwight_dummy,Erin_dummy,Jim_dummy,Kelly_dummy,Kevin_dummy,Meredith_dummy,Michael_dummy,Oscar_dummy,Pam_dummy,Phyllis_dummy,Ryan_dummy,Stanley_dummy,Toby_dummy
261,67,2758,21,0.0,2.0,3.0,25.0,0.0,0.0,0.0,27.0,10.0,7.0,0.0,101.0,5.0,28.0,1.0,13.0,2.0,1.0,0.0,0.0074626865671641,0.0111940298507462,0.0932835820895522,0.0,0.0,0.0,0.1007462686567164,0.0373134328358208,0.0261194029850746,0.0,0.376865671641791,0.0186567164179104,0.1044776119402985,0.003731343283582,0.0485074626865671,0.0074626865671641,0.003731343283582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
321,62,3141,30,40.0,2.0,8.0,41.0,4.0,16.0,16.0,4.0,5.0,10.0,7.0,88.0,7.0,8.0,5.0,1.0,4.0,0.0,0.1639344262295081,0.0081967213114754,0.0327868852459016,0.1680327868852459,0.0163934426229508,0.0655737704918032,0.0655737704918032,0.0163934426229508,0.0204918032786885,0.040983606557377,0.0286885245901639,0.360655737704918,0.0286885245901639,0.0327868852459016,0.0204918032786885,0.0040983606557377,0.0163934426229508,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
326,46,3304,21,41.0,17.0,4.0,36.0,11.0,0.0,0.0,21.0,5.0,6.0,3.0,82.0,3.0,30.0,8.0,11.0,2.0,5.0,0.1469534050179211,0.060931899641577,0.014336917562724,0.1290322580645161,0.039426523297491,0.0,0.0,0.075268817204301,0.017921146953405,0.021505376344086,0.010752688172043,0.2939068100358423,0.010752688172043,0.1075268817204301,0.028673835125448,0.039426523297491,0.007168458781362,0.017921146953405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
625,53,5950,27,25.0,19.0,0.0,47.0,35.0,0.0,0.0,134.0,3.0,29.0,6.0,117.0,3.0,126.0,6.0,2.0,3.0,1.0,0.1012145748987854,0.0769230769230769,0.0,0.1902834008097166,0.1417004048582996,0.0,0.0,0.5425101214574899,0.0121457489878542,0.117408906882591,0.0242914979757085,0.4736842105263157,0.0121457489878542,0.5101214574898786,0.0242914979757085,0.0080971659919028,0.0121457489878542,0.0040485829959514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
359,45,2766,24,35.0,17.0,10.0,34.0,16.0,0.0,0.0,33.0,4.0,7.0,1.0,74.0,20.0,31.0,6.0,5.0,1.0,0.0,0.2671755725190839,0.1297709923664122,0.0763358778625954,0.2595419847328244,0.1221374045801526,0.0,0.0,0.2519083969465648,0.0305343511450381,0.0534351145038167,0.0076335877862595,0.5648854961832062,0.1526717557251908,0.2366412213740458,0.0458015267175572,0.0381679389312977,0.0076335877862595,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
264,43,3049,24,10.0,2.0,0.0,9.0,6.0,0.0,0.0,26.0,0.0,1.0,2.0,82.0,5.0,25.0,1.0,0.0,1.0,2.0,0.0313479623824451,0.006269592476489,0.0,0.0282131661442006,0.018808777429467,0.0,0.0,0.0815047021943573,0.0,0.0031347962382445,0.006269592476489,0.2570532915360501,0.0156739811912225,0.0783699059561128,0.0031347962382445,0.0,0.0031347962382445,0.006269592476489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
262,58,2464,23,5.0,3.0,0.0,73.0,0.0,0.0,0.0,14.0,2.0,14.0,2.0,90.0,3.0,5.0,4.0,0.0,5.0,0.0,0.0169491525423728,0.0101694915254237,0.0,0.247457627118644,0.0,0.0,0.0,0.047457627118644,0.0067796610169491,0.047457627118644,0.0067796610169491,0.3050847457627119,0.0101694915254237,0.0169491525423728,0.0135593220338983,0.0,0.0169491525423728,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0
290,22,2902,20,17.0,1.0,10.0,31.0,0.0,47.0,0.0,24.0,3.0,18.0,3.0,72.0,7.0,32.0,3.0,9.0,1.0,0.0,0.0548387096774193,0.0032258064516129,0.032258064516129,0.1,0.0,0.1516129032258064,0.0,0.0774193548387096,0.0096774193548387,0.0580645161290322,0.0096774193548387,0.232258064516129,0.0225806451612903,0.1032258064516129,0.0096774193548387,0.0290322580645161,0.0032258064516129,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
259,58,2167,15,10.0,12.0,0.0,71.0,0.0,0.0,25.0,12.0,8.0,4.0,0.0,73.0,0.0,17.0,5.0,0.0,2.0,0.0,0.0344827586206896,0.0413793103448275,0.0,0.2448275862068965,0.0,0.0,0.0862068965517241,0.0413793103448275,0.0275862068965517,0.0137931034482758,0.0,0.2517241379310345,0.0,0.0586206896551724,0.0172413793103448,0.0,0.0068965517241379,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0
191,23,2419,17,17.0,10.0,0.0,4.0,0.0,0.0,7.0,31.0,0.0,13.0,1.0,54.0,0.0,16.0,1.0,3.0,2.0,4.0,0.0334645669291338,0.0196850393700787,0.0,0.0078740157480314,0.0,0.0,0.0137795275590551,0.0610236220472441,0.0,0.0255905511811023,0.0019685039370078,0.1062992125984252,0.0,0.0314960629921259,0.0019685039370078,0.0059055118110236,0.0039370078740157,0.0078740157480314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1
237,44,2628,23,36.0,1.0,10.0,34.0,5.0,0.0,0.0,17.0,2.0,15.0,6.0,0.0,17.0,0.0,3.0,6.0,4.0,0.0,0.125,0.0034722222222222,0.0347222222222222,0.1180555555555555,0.0173611111111111,0.0,0.0,0.0590277777777777,0.0069444444444444,0.0520833333333333,0.0208333333333333,0.0,0.0590277777777777,0.0,0.0104166666666666,0.0208333333333333,0.0138888888888888,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
283,67,3074,19,54.0,12.0,4.0,34.0,40.0,0.0,0.0,9.0,0.0,25.0,3.0,0.0,27.0,11.0,0.0,0.0,0.0,9.0,0.2307692307692307,0.0512820512820512,0.017094017094017,0.1452991452991453,0.1709401709401709,0.0,0.0,0.0384615384615384,0.0,0.1068376068376068,0.0128205128205128,0.0,0.1153846153846153,0.047008547008547,0.0,0.0,0.0,0.0384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1
220,39,2786,18,12.0,2.0,0.0,14.0,0.0,51.0,0.0,27.0,3.0,5.0,13.0,58.0,5.0,9.0,3.0,3.0,3.0,0.0,0.0388349514563106,0.0064724919093851,0.0,0.0453074433656957,0.0,0.1650485436893204,0.0,0.087378640776699,0.0097087378640776,0.0161812297734627,0.0420711974110032,0.1877022653721682,0.0161812297734627,0.029126213592233,0.0097087378640776,0.0097087378640776,0.0097087378640776,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
259,32,3164,29,28.0,9.0,4.0,53.0,10.0,0.0,0.0,28.0,9.0,8.0,3.0,0.0,6.0,10.0,2.0,17.0,1.0,18.0,0.1007194244604316,0.0323741007194244,0.014388489208633,0.1906474820143885,0.0359712230215827,0.0,0.0,0.1007194244604316,0.0323741007194244,0.0287769784172661,0.0107913669064748,0.0,0.0215827338129496,0.0359712230215827,0.0071942446043165,0.0611510791366906,0.0035971223021582,0.0647482014388489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
487,68,5243,22,7.0,48.0,5.0,54.0,0.0,0.0,7.0,50.0,6.0,18.0,19.0,130.0,9.0,81.0,4.0,8.0,9.0,9.0,0.0143737166324435,0.0985626283367556,0.0102669404517453,0.1108829568788501,0.0,0.0,0.0143737166324435,0.1026694045174538,0.0123203285420944,0.0369609856262833,0.0390143737166324,0.2669404517453799,0.0184804928131416,0.1663244353182751,0.0082135523613963,0.0164271047227926,0.0184804928131416,0.0184804928131416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
278,81,2884,19,27.0,9.0,0.0,26.0,42.0,0.0,0.0,18.0,13.0,9.0,0.0,56.0,7.0,23.0,12.0,3.0,1.0,0.0,0.1050583657587548,0.0350194552529182,0.0,0.1011673151750972,0.1634241245136186,0.0,0.0,0.0700389105058365,0.0505836575875486,0.0350194552529182,0.0,0.2178988326848249,0.0272373540856031,0.0894941634241245,0.046692607003891,0.0116731517509727,0.0038910505836575,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
552,83,5580,33,33.0,12.0,0.0,84.0,10.0,0.0,0.0,56.0,3.0,30.0,6.0,129.0,9.0,70.0,3.0,3.0,7.0,4.0,0.1235955056179775,0.0449438202247191,0.0,0.3146067415730337,0.0374531835205992,0.0,0.0,0.2097378277153558,0.0112359550561797,0.1123595505617977,0.0224719101123595,0.4831460674157303,0.0337078651685393,0.2621722846441947,0.0112359550561797,0.0112359550561797,0.0262172284644194,0.0149812734082397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
269,40,2659,16,0.0,13.0,0.0,33.0,0.0,0.0,0.0,30.0,3.0,2.0,0.0,108.0,7.0,27.0,3.0,1.0,3.0,0.0,0.0,0.0492424242424242,0.0,0.125,0.0,0.0,0.0,0.1136363636363636,0.0113636363636363,0.0075757575757575,0.0,0.4090909090909091,0.0265151515151515,0.1022727272727272,0.0113636363636363,0.0037878787878787,0.0113636363636363,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0
319,37,3181,20,37.0,10.0,7.0,14.0,17.0,0.0,0.0,49.0,2.0,10.0,8.0,85.0,11.0,39.0,9.0,1.0,3.0,0.0,0.1134969325153374,0.0306748466257668,0.0214723926380368,0.0429447852760736,0.0521472392638036,0.0,0.0,0.1503067484662576,0.0061349693251533,0.0306748466257668,0.0245398773006134,0.2607361963190184,0.0337423312883435,0.1196319018404908,0.0276073619631901,0.0030674846625766,0.00920245398773,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
203,20,2808,12,0.0,4.0,0.0,17.0,0.0,0.0,0.0,25.0,2.0,8.0,0.0,75.0,13.0,12.0,0.0,4.0,5.0,2.0,0.0,0.0197044334975369,0.0,0.083743842364532,0.0,0.0,0.0,0.1231527093596059,0.0098522167487684,0.0394088669950738,0.0,0.3694581280788177,0.064039408866995,0.0591133004926108,0.0,0.0197044334975369,0.0246305418719211,0.0098522167487684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1
213,28,2108,26,14.0,10.0,0.0,6.0,0.0,0.0,0.0,19.0,15.0,6.0,2.0,56.0,0.0,23.0,2.0,7.0,1.0,2.0,0.0544747081712062,0.0389105058365758,0.0,0.0233463035019455,0.0,0.0,0.0,0.0739299610894941,0.0583657587548638,0.0233463035019455,0.0077821011673151,0.2178988326848249,0.0,0.0894941634241245,0.0077821011673151,0.0272373540856031,0.0038910505836575,0.0077821011673151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
257,23,2330,17,0.0,5.0,0.0,29.0,0.0,0.0,6.0,25.0,3.0,3.0,2.0,77.0,0.0,30.0,0.0,6.0,1.0,0.0,0.0,0.0234741784037558,0.0,0.136150234741784,0.0,0.0,0.028169014084507,0.1173708920187793,0.0140845070422535,0.0140845070422535,0.0093896713615023,0.3615023474178404,0.0,0.1408450704225352,0.0,0.028169014084507,0.0046948356807511,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0
321,37,2822,22,43.0,0.0,23.0,55.0,13.0,0.0,0.0,40.0,6.0,15.0,0.0,0.0,4.0,65.0,2.0,6.0,0.0,4.0,0.1799163179916318,0.0,0.0962343096234309,0.2301255230125523,0.0543933054393305,0.0,0.0,0.1673640167364016,0.0251046025104602,0.0627615062761506,0.0,0.0,0.0167364016736401,0.2719665271966527,0.00836820083682,0.0251046025104602,0.0,0.0167364016736401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
325,82,2711,26,69.0,10.0,0.0,16.0,0.0,0.0,0.0,22.0,15.0,2.0,5.0,77.0,38.0,14.0,2.0,13.0,3.0,0.0,0.2518248175182482,0.0364963503649635,0.0,0.0583941605839416,0.0,0.0,0.0,0.0802919708029197,0.0547445255474452,0.0072992700729927,0.0182481751824817,0.2810218978102189,0.1386861313868613,0.0510948905109489,0.0072992700729927,0.0474452554744525,0.010948905109489,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
361,43,2950,17,0.0,5.0,0.0,60.0,0.0,0.0,0.0,55.0,1.0,2.0,1.0,124.0,3.0,57.0,3.0,13.0,4.0,7.0,0.0,0.0156739811912225,0.0,0.1880877742946708,0.0,0.0,0.0,0.1724137931034483,0.0031347962382445,0.006269592476489,0.0031347962382445,0.3887147335423197,0.0094043887147335,0.1786833855799373,0.0094043887147335,0.0407523510971786,0.012539184952978,0.0219435736677116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
261,32,2811,21,33.0,1.0,7.0,21.0,32.0,0.0,0.0,38.0,1.0,8.0,2.0,0.0,1.0,17.0,4.0,1.0,1.0,3.0,0.1392405063291139,0.0042194092827004,0.0295358649789029,0.0886075949367088,0.1350210970464135,0.0,0.0,0.160337552742616,0.0042194092827004,0.0337552742616033,0.0084388185654008,0.0,0.0042194092827004,0.0717299578059071,0.0168776371308016,0.0042194092827004,0.0042194092827004,0.0126582278481012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
281,32,2914,13,8.0,0.0,0.0,38.0,0.0,0.0,0.0,69.0,0.0,2.0,0.0,82.0,10.0,18.0,2.0,0.0,10.0,7.0,0.014519056261343,0.0,0.0,0.0689655172413793,0.0,0.0,0.0,0.1252268602540834,0.0,0.0036297640653357,0.0,0.1488203266787658,0.0181488203266787,0.0326678765880217,0.0036297640653357,0.0,0.0181488203266787,0.0127041742286751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1
